ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
532,1679.93,1611.54,17.364,0.001,1.532,1.322,0.029,0.043,0.93,1
597,898.582,896.3,17.5633,0.0014,1.498,1.241,0.037,0.057,0.93,1
583,831.927,1185.65,17.5654,0.0015,1.388,1.293,0.029,0.044,0.93,1
676,1578.53,1333.14,17.8023,0.0015,1.52,1.33,0.033,0.049,0.93,1
672,782.858,1767.84,17.8101,0.0014,1.425,1.191,0.035,0.051,0.93,1
754,1668.12,1014.99,18.0325,0.0017,1.557,1.282,0.041,0.066,0.93,1
58,1153.5,1250.03,14.4105,0.0003,0.723,0.619,0.004,0.003,0.929,1
64,1131.92,1326.59,14.436,0.0004,0.947,0.791,0.004,0.004,0.928,1
51,1478.92,1221.0,14.1341,0.0002,1.01,0.914,0.004,0.004,0.926,1
37,1308.62,1806.78,13.4513,0.0003,1.516,1.401,0.005,0.004,0.924,1
79,948.004,1070.4,14.7243,0.0007,0.991,0.855,0.006,0.005,0.921,1
470,1161.16,1149.61,17.2219,0.0011,1.433,1.26,0.023,0.032,0.92,1
487,433.304,1143.29,17.2236,0.0009,1.356,1.134,0.022,0.03,0.92,1
717,1636.36,1124.8,17.9281,0.0021,1.473,1.335,0.038,0.062,0.92,1
751,969.198,1689.23,17.9298,0.0017,1.356,1.233,0.04,0.057,0.92,1
88,1048.5,1154.74,14.7832,0.0004,1.021,0.877,0.005,0.004,0.919,1
70,1576.25,1546.8,14.5989,0.0003,0.906,0.792,0.005,0.005,0.917,1
96,830.666,684.461,14.852,0.0003,0.926,0.83,0.007,0.006,0.917,1
95,1120.48,1197.04,14.8254,0.0004,1.087,0.88,0.006,0.005,0.916,1
93,768.679,1101.13,14.8888,0.0004,0.783,0.671,0.006,0.005,0.916,1
110,1424.27,1143.02,15.0247,0.0004,0.92,0.863,0.006,0.006,0.916,1
61,1439.06,912.006,14.289,0.0003,1.055,0.886,0.008,0.006,0.915,1
114,1405.35,1113.74,14.9887,0.0004,1.186,0.943,0.006,0.006,0.914,1
89,1079.2,1314.16,14.8475,0.0004,0.759,0.658,0.006,0.005,0.913,1
66,1075.25,913.078,14.4175,0.0003,1.059,0.892,0.008,0.007,0.912,1
115,1122.56,1329.44,15.0643,0.0005,0.951,0.797,0.007,0.006,0.912,1
53,1552.52,1481.16,13.8974,0.0003,1.86,1.723,0.005,0.006,0.91,1
101,807.629,1362.08,14.7644,0.0004,1.699,1.523,0.005,0.007,0.91,1
87,1174.11,1260.96,14.8401,0.0004,0.782,0.67,0.006,0.005,0.91,1
67,1120.5,1315.84,14.5995,0.0004,0.815,0.691,0.006,0.005,0.909,1
107,738.233,946.92,15.031,0.0004,0.788,0.696,0.007,0.006,0.909,1
121,1271.85,1392.64,15.2259,0.0005,0.833,0.727,0.007,0.006,0.908,1
146,954.883,1581.58,15.4669,0.0006,0.856,0.721,0.007,0.006,0.907,1
60,1361.53,857.392,14.2419,0.0003,1.174,0.942,0.008,0.007,0.906,1
47,1053.04,1699.82,13.856,0.0004,2.23,1.969,0.006,0.008,0.9,1
99,991.289,1445.26,14.7993,0.0004,2.156,1.517,0.006,0.009,0.9,1
131,1721.93,1206.9,15.09,0.0005,1.736,1.391,0.006,0.008,0.9,1
77,1278.65,808.747,14.2692,0.0003,2.055,1.784,0.009,0.01,0.89,1
187,1284.78,1798.46,15.7999,0.0008,1.119,0.922,0.008,0.01,0.89,1
175,919.431,1691.85,15.7074,0.0006,0.971,0.807,0.008,0.008,0.887,1
171,666.87,1311.69,15.6814,0.0006,1.029,0.915,0.008,0.009,0.886,1
182,1278.15,1059.12,15.7484,0.0006,1.104,0.942,0.009,0.01,0.886,1
166,1646.51,1227.9,15.5979,0.0006,1.042,0.89,0.008,0.007,0.885,1
172,1563.9,1535.24,15.6823,0.0006,0.932,0.826,0.009,0.009,0.884,1
190,493.364,1449.13,15.8318,0.0008,1.204,0.999,0.009,0.01,0.88,1
192,1105.91,1391.39,15.8525,0.0007,1.145,0.955,0.008,0.009,0.88,1
201,834.863,1237.37,15.9605,0.0007,1.134,0.97,0.009,0.011,0.88,1
158,1377.27,1414.7,15.6106,0.0097,1.215,1.005,0.008,0.008,0.879,1
167,927.55,1370.64,15.6542,0.0006,0.832,0.716,0.008,0.008,0.877,1
183,829.122,1582.88,15.7667,0.0006,1.008,0.877,0.008,0.009,0.876,1
189,538.875,1523.86,15.8095,0.0007,1.047,0.868,0.008,0.009,0.876,1
173,1405.95,1802.64,15.6701,0.0007,1.047,0.868,0.008,0.009,0.875,1
176,819.99,990.187,15.6233,0.0006,0.951,0.854,0.01,0.011,0.874,1
210,893.704,1425.41,16.077,0.0008,1.102,0.908,0.011,0.01,0.874,1
205,1474.9,1380.25,16.0157,0.0007,1.213,1.047,0.01,0.013,0.872,1
163,1330.3,1681.47,15.6083,0.0006,0.894,0.798,0.008,0.008,0.87,1
191,1382.17,1296.79,15.7952,0.0008,1.384,1.164,0.009,0.01,0.87,1
196,533.246,1591.37,15.8285,0.0009,1.579,1.24,0.01,0.013,0.87,1
208,462.934,1056.53,15.9982,0.0007,1.504,1.246,0.01,0.014,0.87,1
303,692.844,1296.34,16.5382,0.0007,1.231,1.035,0.013,0.015,0.87,1
588,1069.78,1360.65,17.5518,0.0012,1.412,1.235,0.029,0.046,0.87,1
188,668.484,1323.59,15.8357,0.0008,1.048,0.894,0.014,0.011,0.867,1
207,768.018,804.951,15.9834,0.0006,1.138,0.932,0.011,0.013,0.867,1
185,1581.64,1286.53,15.7842,0.0007,1.091,0.9,0.009,0.009,0.865,1
213,1024.33,1591.15,16.0673,0.0006,1.144,0.933,0.009,0.01,0.862,1
219,1530.51,929.987,16.1035,0.0007,1.226,1.01,0.012,0.015,0.86,1
228,1049.92,1167.97,16.1226,0.0008,1.159,0.992,0.011,0.01,0.86,1
227,1232.49,902.242,16.1249,0.0007,1.144,0.951,0.013,0.013,0.86,1
