ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,MP,sel
731,812.759,1276.85,17.1565,0.0053,1.566,nan,0.039,nan,0.0,-1
733,813.616,1436.05,17.4522,0.001,1.196,nan,0.036,nan,0.79,-1
738,1132.54,1203.56,17.5098,0.0011,1.003,nan,0.031,nan,0.96,-1
739,1304.71,957.046,17.5169,0.0043,1.194,nan,0.04,nan,0.0,-1
746,903.81,1240.5,17.5204,0.001,1.094,nan,0.03,nan,0.99,-1
747,690.513,1341.02,17.3914,0.001,1.121,nan,0.029,nan,0.89,-1
752,1418.21,1548.72,17.5798,0.0013,1.07,nan,0.033,nan,0.9,-1
758,1306.34,1100.82,17.6192,0.0011,1.051,nan,0.03,nan,0.99,-1
759,1323.07,1625.45,17.5347,0.001,1.133,nan,0.033,nan,0.81,-1
761,954.022,985.024,18.0225,0.0018,1.059,nan,0.063,nan,0.84,-1
763,689.679,1405.41,17.5661,0.001,1.082,nan,0.034,nan,0.77,-1
767,935.673,928.367,17.4685,0.0013,1.141,nan,0.04,nan,0.99,-1
769,1011.56,1136.24,17.6747,0.0017,1.171,nan,0.038,nan,0.86,-1
770,1298.88,1493.65,17.5034,0.0011,1.115,nan,0.035,nan,0.86,-1
776,1224.71,1003.31,17.6397,0.0011,1.0,nan,0.03,nan,0.99,-1
777,740.791,1059.3,16.8361,0.0009,2.148,nan,0.064,nan,0.82,-1
786,1068.73,975.249,17.5002,0.0022,1.252,nan,0.054,nan,0.46,-1
787,1477.13,1285.78,17.5284,0.001,1.194,nan,0.032,nan,0.97,-1
788,1426.24,1357.47,17.4675,0.0009,1.147,nan,0.034,nan,0.99,-1
798,1431.27,1330.26,17.5162,0.001,1.276,nan,0.037,nan,0.96,-1
801,1318.7,1255.31,17.5925,0.0011,1.065,nan,0.039,nan,0.99,-1
804,1226.83,1589.39,17.8253,0.0016,1.105,nan,0.058,nan,0.8,-1
809,1411.21,1249.78,16.8554,0.0008,2.22,nan,0.079,nan,0.69,-1
819,922.288,1326.57,17.533,0.001,1.29,nan,0.046,nan,0.99,-1
817,1122.61,1524.89,17.3944,0.0009,1.433,nan,0.046,nan,0.98,-1
826,1418.42,1132.09,17.5908,0.0009,1.113,nan,0.039,nan,0.74,-1
830,1081.14,1227.8,17.6625,0.0012,1.164,nan,0.044,nan,0.85,-1
829,1251.87,1220.19,17.6457,0.0013,1.131,nan,0.042,nan,0.98,-1
836,696.922,1127.28,17.6666,0.0011,1.122,nan,0.038,nan,0.77,-1
837,1185.92,1517.69,17.7338,0.0011,1.019,nan,0.036,nan,0.99,-1
843,1056.92,1255.57,17.5726,0.0012,1.314,nan,0.04,nan,0.94,-1
845,1262.31,1538.51,17.7309,0.0012,1.016,nan,0.036,nan,0.77,-1
849,1190.07,1421.6,18.586,0.002,1.27,nan,0.054,nan,0.94,-1
855,1326.35,1326.88,17.6748,0.0012,0.982,nan,0.062,nan,0.94,-1
859,1160.85,1202.09,17.6249,0.0011,1.125,nan,0.045,nan,0.83,-1
860,1191.27,1682.33,17.692,0.001,1.212,nan,0.041,nan,0.74,-1
862,917.497,1281.23,17.6705,0.0012,1.285,nan,0.042,nan,0.85,-1
869,988.501,1226.84,17.7161,0.0011,1.08,nan,0.041,nan,0.98,-1
871,1056.97,1565.33,18.0472,0.0016,1.159,nan,0.05,nan,0.99,-1
877,694.396,1265.82,17.6786,0.0012,1.29,nan,0.045,nan,0.97,-1
879,1276.69,1214.06,17.6941,0.0012,1.208,nan,0.046,nan,0.68,-1
880,1034.07,1594.25,17.7931,0.0013,1.019,nan,0.04,nan,0.98,-1
884,856.981,1306.3,17.951,0.0019,1.247,nan,0.043,nan,0.68,-1
888,1275.33,1245.6,17.5893,0.001,1.563,nan,0.053,nan,0.81,-1
892,842.955,1402.61,17.8599,0.0014,1.012,nan,0.041,nan,0.99,-1
894,1165.18,1339.28,17.7897,0.0012,1.107,nan,0.041,nan,0.65,-1
897,1057.26,1155.19,17.79,0.0016,1.144,nan,0.048,nan,0.9,-1
900,800.288,1403.82,17.8349,0.0012,1.051,nan,0.043,nan,0.98,-1
901,1410.96,1136.58,17.7609,0.0011,1.171,nan,0.046,nan,0.91,-1
903,1393.86,1460.31,17.8531,0.0014,1.266,nan,0.044,nan,0.95,-1
905,1192.01,1595.67,17.8681,0.0013,1.094,nan,0.039,nan,0.89,-1
910,1392.15,1186.45,17.8279,0.0011,1.072,nan,0.042,nan,0.97,-1
916,757.62,1415.39,17.855,0.0011,1.121,nan,0.04,nan,0.96,-1
927,911.444,1038.07,17.9337,0.0016,1.182,nan,0.048,nan,0.75,-1
932,993.489,1346.17,17.7576,0.0011,1.198,nan,0.049,nan,0.96,-1
933,1141.29,1164.57,17.9327,0.0012,1.057,nan,0.044,nan,0.98,-1
934,1366.06,1133.14,17.9143,0.0012,1.2,nan,0.041,nan,0.54,-1
953,759.48,1324.78,17.9202,0.0012,1.119,nan,0.049,nan,0.97,-1
968,1022.89,1686.37,17.9769,0.0013,1.074,nan,0.042,nan,0.97,-1
973,1192.07,1385.66,17.9802,0.0013,1.128,nan,0.049,nan,0.87,-1
977,698.754,1417.2,17.9491,0.0016,0.968,nan,0.051,nan,0.97,-1
982,1299.67,1441.49,17.8155,0.0012,1.36,nan,0.056,nan,0.67,-1
989,1061.82,1431.82,17.9569,0.0014,1.183,nan,0.059,nan,0.98,-1
995,1229.1,1076.67,17.9889,0.0014,1.349,nan,0.053,nan,0.52,-1
998,867.194,1264.14,18.0353,0.0013,1.22,nan,0.048,nan,0.47,-1
1002,1392.48,1349.61,18.0384,0.0014,1.138,nan,0.055,nan,0.95,-1
1003,1061.15,1340.06,17.9564,0.0013,1.053,nan,0.046,nan,0.99,-1
1007,1252.19,1663.17,17.9782,0.0012,1.087,nan,0.049,nan,0.77,-1
1010,938.044,1244.18,17.9997,0.0012,1.179,nan,0.053,nan,0.96,-1
1015,1162.67,1463.86,18.1095,0.0014,1.239,nan,0.051,nan,0.96,-1
