ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
119,1761.53,1292.3,15.1922,0.0012,0.853,0.657,0.007,0.007,0.633,1
179,1340.44,1474.74,15.8179,0.0005,0.846,0.648,0.01,0.01,0.619,1
90,1374.09,1219.89,14.7904,0.0007,1.129,0.918,0.006,0.006,0.618,1
445,1571.15,1441.48,16.9978,0.0008,1.206,1.026,0.021,0.024,0.6,1
435,1623.88,1066.69,16.9571,0.0009,1.268,1.025,0.017,0.016,0.59,1
279,1498.45,1295.77,16.374,0.0006,1.059,0.821,0.01,0.01,0.577,1
267,1604.49,1162.9,16.3307,0.0007,1.039,0.804,0.011,0.009,0.557,1
104,1659.05,1106.22,14.7011,0.0003,1.627,1.518,0.007,0.008,0.526,1
206,1714.42,1380.54,15.932,0.0011,1.064,0.852,0.01,0.012,0.522,1
291,1287.08,867.622,15.8385,0.0007,2.14,1.92,0.015,0.023,0.46,1
14,1288.24,1207.39,12.3551,0.0002,1.404,1.234,0.006,0.006,0.329,1
8,1112.42,1401.71,11.5698,0.0003,0.897,0.727,0.007,0.007,0.291,1
60,1238.43,975.935,13.7767,0.0003,1.894,1.701,0.011,0.013,0.282,1
146,1449.43,984.729,15.4491,0.0004,1.129,1.007,0.014,0.014,0.26,1
22,1181.43,1423.26,12.5937,0.0008,1.523,1.456,0.008,0.009,0.156,1
536,1202.03,1135.48,17.1285,0.001,1.534,1.181,0.018,0.022,0.76,0
814,1618.65,832.077,17.5881,0.0013,1.677,1.329,0.027,0.046,0.75,0
1042,1587.43,1475.4,18.1544,0.0018,1.571,1.111,0.036,0.052,0.74,0
862,1791.9,1121.9,17.9648,0.0015,1.333,1.095,0.029,0.034,0.73,0
1175,1482.19,1413.29,18.5625,0.0022,1.359,1.181,0.045,0.062,0.73,0
1236,1581.09,1220.29,18.6785,0.0027,1.451,1.233,0.052,0.081,0.73,0
896,1501.18,784.607,17.8722,0.0015,1.516,1.167,0.033,0.05,0.71,0
875,1640.0,1091.65,17.8752,0.0016,1.536,1.198,0.031,0.042,0.71,0
866,1467.02,1181.25,17.9514,0.0016,1.358,1.103,0.03,0.041,0.71,0
359,1314.7,790.318,16.7418,0.001,1.037,0.821,0.019,0.018,0.7,0
780,1480.71,1343.28,17.6072,0.0013,1.606,1.228,0.024,0.036,0.7,0
704,1683.37,879.892,17.3643,0.0009,1.695,1.354,0.027,0.034,0.69,0
224,1279.23,882.598,16.0219,0.0006,1.14,0.887,0.015,0.016,0.681,0
747,1123.04,920.361,17.6032,0.0014,1.366,1.083,0.029,0.037,0.68,0
1100,1631.07,1251.67,18.275,0.0019,1.607,1.323,0.039,0.062,0.68,0
1130,1282.07,758.774,18.322,0.0018,1.457,1.257,0.046,0.063,0.68,0
1209,1673.68,1230.01,18.586,0.0022,1.56,1.188,0.052,0.07,0.68,0
369,1190.32,1263.11,16.6224,0.0006,1.485,1.242,0.014,0.019,0.67,0
631,1306.43,1013.02,17.3983,0.0011,1.379,1.081,0.022,0.026,0.67,0
840,1328.02,1312.53,17.8682,0.0015,1.328,1.051,0.03,0.037,0.67,0
864,1289.86,1177.97,18.0989,0.0016,1.275,1.091,0.03,0.039,0.67,0
1091,1591.31,965.593,18.2628,0.0018,1.387,1.08,0.047,0.058,0.67,0
237,1390.46,1105.19,15.6677,0.0006,1.949,1.703,0.009,0.014,0.66,0
708,1287.66,806.604,17.5914,0.0012,1.308,1.167,0.025,0.032,0.66,0
532,1318.26,1038.63,17.1601,0.002,1.632,1.331,0.02,0.025,0.65,0
918,1466.29,781.232,17.9501,0.0012,1.494,1.235,0.032,0.05,0.65,0
426,1276.69,1517.36,16.2273,0.0007,2.321,2.028,0.014,0.028,0.64,0
424,1745.97,970.322,16.8356,0.0018,1.409,1.165,0.02,0.023,0.64,0
915,1412.17,1303.01,18.0337,0.0023,1.516,1.186,0.036,0.045,0.64,0
252,1365.92,878.703,16.1378,0.0006,1.217,1.025,0.016,0.015,0.638,0
168,1409.29,1146.15,15.6442,0.0005,1.118,0.913,0.008,0.007,0.634,0
139,1425.51,1050.58,15.1005,0.0004,1.582,1.442,0.007,0.009,0.62,0
281,1249.02,1272.94,15.7133,0.0005,2.224,1.909,0.009,0.019,0.62,0
709,1061.24,1239.8,17.3548,0.0011,1.77,1.364,0.022,0.033,0.62,0
1253,1067.07,1249.89,18.6693,0.0021,1.658,1.116,0.053,0.073,0.62,0
1081,1044.75,1123.71,18.1443,0.0013,1.7,1.341,0.033,0.064,0.6,0
1164,1682.6,1029.62,18.5203,0.002,1.305,1.034,0.052,0.054,0.6,0
360,1608.3,948.216,16.6468,0.0007,1.287,1.036,0.02,0.022,0.58,0
484,1259.66,1070.34,16.9397,0.0007,1.519,1.214,0.015,0.018,0.58,0
