ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
1205,236.342,1878.54,19.245,0.052,0.772,0.082,99.0,99.0,0.379,0.061,0.871,0.08,184.44820822575517,-55.052063742293754
1207,173.181,1535.15,19.257,0.047,0.831,0.075,99.0,99.0,0.44,0.053,99.0,99.0,184.45782575576013,-55.080306126237105
1208,1286.27,1521.12,19.262,0.05,0.956,0.088,99.0,99.0,0.6,0.055,1.183,0.068,184.29736430506765,-55.08252234435414
1209,1226.38,1208.94,19.262,0.05,0.86,0.081,99.0,99.0,0.565,0.056,0.951,0.08,184.30623130676702,-55.108149270152225
1210,1038.52,1826.69,19.262,0.046,0.8,0.072,99.0,99.0,0.461,0.053,0.916,0.081,184.33279703652917,-55.05713690656875
1211,1131.53,1763.36,19.262,0.051,0.866,0.075,99.0,99.0,0.454,0.06,0.77,0.079,184.31946753243056,-55.062443066951474
1212,500.336,759.645,19.262,0.043,0.889,0.08,99.0,99.0,0.368,0.055,0.871,0.08,184.41185823372996,-55.14463753363311
1213,965.865,1739.26,19.262,0.055,0.716,0.089,99.0,99.0,0.366,0.063,0.721,0.091,184.34330138878934,-55.06423958314484
1214,1087.39,424.908,19.263,0.056,0.939,0.098,99.0,99.0,0.604,0.068,1.214,0.073,184.32735518270556,-55.1727809589081
1215,1301.79,761.223,19.263,0.061,0.563,0.079,99.0,99.0,0.468,0.068,0.946,0.083,184.295830560884,-55.14515121977667
1216,1237.44,416.608,19.264,0.042,1.124,0.071,99.0,99.0,0.397,0.052,0.979,0.073,184.3056238597077,-55.173587189409034
1217,1192.58,919.643,19.271,0.056,1.093,0.096,99.0,99.0,0.813,0.062,1.404,0.072,184.3114171194915,-55.13197085437246
1218,495.723,560.105,19.271,0.05,1.091,0.088,99.0,99.0,0.603,0.054,1.168,0.068,184.41293572702952,-55.161165254787676
1219,1049.87,1098.8,19.271,0.051,0.725,0.074,99.0,99.0,0.473,0.059,0.984,0.078,184.3318117643833,-55.11705559116777
1221,1421.78,1579.51,19.273,0.045,0.992,0.083,99.0,99.0,0.54,0.051,1.072,0.072,184.27785083671836,-55.07787941471502
1222,1974.04,1683.04,19.278,0.047,1.273,0.114,99.0,99.0,0.556,0.054,1.095,0.072,184.19859469658329,-55.07008738216117
1223,1162.58,122.345,19.286,0.052,0.996,0.096,99.0,99.0,0.592,0.057,99.0,99.0,184.31698784569417,-55.19791094635223
1224,141.611,988.881,19.29,0.05,0.837,0.085,99.0,99.0,0.383,0.063,0.867,0.087,184.4634152153055,-55.125424135961836
