ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
807,1545.46,415.974,17.995,0.018,1.033,0.036,99.0,99.0,0.638,0.022,1.217,0.026,154.24193279695695,-58.77859372995012
808,433.587,1116.98,17.997,0.02,1.57,0.047,99.0,99.0,0.911,0.021,1.859,0.023,154.41790299263275,-58.71967366296929
809,764.578,1834.76,17.999,0.022,1.327,0.04,99.0,99.0,0.924,0.023,1.802,0.026,154.3640471062956,-58.660704036644
810,906.13,259.209,18.0,0.02,1.03,0.039,99.0,99.0,0.592,0.022,1.186,0.03,154.34402889409742,-58.79100747909401
811,792.483,1292.94,18.002,0.019,1.248,0.035,99.0,99.0,0.708,0.021,1.443,0.024,154.36063729396557,-58.70547767448434
812,155.092,876.442,18.006,0.02,1.049,0.042,99.0,99.0,0.615,0.022,1.181,0.028,154.4625229412241,-58.73925882814317
813,1148.77,1751.89,18.008,0.019,1.02,0.032,99.0,99.0,0.517,0.021,1.049,0.026,154.30328799283328,-58.66787370870491
814,1937.74,983.729,18.01,0.02,1.222,0.041,99.0,99.0,0.735,0.023,1.424,0.026,154.17883861199988,-58.73193930509909
815,403.947,527.746,18.012,0.025,1.017,0.042,99.0,99.0,0.616,0.026,1.176,0.034,154.42359150109456,-58.76832475925992
817,666.974,861.508,18.022,0.019,1.294,0.035,99.0,99.0,0.769,0.022,1.529,0.026,154.3812780772095,-58.74100452618741
818,1169.38,1769.11,18.028,0.021,1.162,0.039,99.0,99.0,0.75,0.022,1.453,0.027,154.2999869960415,-58.66646809017254
819,38.505,1788.78,18.028,0.019,1.025,0.032,99.0,99.0,0.603,0.023,1.104,0.028,154.47906551432598,-58.66380224720452
821,1406.21,1817.45,18.036,0.021,0.819,0.032,99.0,99.0,0.559,0.025,1.047,0.031,154.26231276619924,-58.66266016977636
822,726.752,290.811,18.038,0.019,1.013,0.034,99.0,99.0,0.585,0.023,1.18,0.028,154.372563072818,-58.78822591390089
823,209.103,1177.77,18.04,0.02,1.149,0.038,99.0,99.0,0.632,0.023,1.254,0.03,154.45338627233394,-58.714426865980776
