ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
84,1343.5,1644.0,14.045,0.008,1.198,0.01,0.861,0.014,0.725,0.01,1.316,0.013,155.92872200327068,-60.1106016647433
85,1139.63,1491.43,14.049,0.007,1.538,0.008,1.6,0.028,0.913,0.009,1.667,0.01,155.96270753412747,-60.122972170481226
86,1870.63,1766.3,14.05,0.008,0.417,0.011,-0.237,0.009,0.362,0.011,0.682,0.014,155.8411998820019,-60.101164846853735
87,1458.53,134.322,14.064,0.011,0.209,0.016,-0.029,0.011,0.242,0.014,0.394,0.019,155.91159840365128,-60.235018155622946
88,1136.64,277.921,14.065,0.01,1.439,0.015,1.42,0.039,0.851,0.013,1.554,0.016,155.964965879683,-60.22295146534168
445,1305.57,1555.58,16.085,0.01,0.846,0.016,0.199,0.049,0.555,0.013,0.972,0.018,155.93512489292453,-60.1178597601984
90,1169.4,1212.46,14.096,0.003,0.336,0.005,-0.138,0.005,0.314,0.007,0.573,0.008,155.9581733359471,-60.14602987105037
91,461.863,14.538,14.099,0.011,0.533,0.016,-0.031,0.012,0.423,0.014,0.793,0.018,156.07755888591635,-60.244130151470536
92,821.68,126.312,14.148,0.014,0.463,0.018,0.284,0.014,0.323,0.019,0.609,0.022,156.01756894767144,-60.23517316782993
94,1181.49,1540.97,14.157,0.007,0.391,0.01,-0.104,0.008,0.328,0.01,0.627,0.013,155.95570242339838,-60.11892655290959
750,1379.83,1535.75,16.872,0.011,1.248,0.016,99.0,99.0,0.803,0.014,1.479,0.016,155.92284458532822,-60.119582401273775
95,1119.19,1775.31,14.164,0.01,0.355,0.013,-0.152,0.009,0.305,0.013,0.571,0.017,155.96568297806925,-60.09949035126523
96,1278.13,1306.2,14.204,0.004,1.222,0.006,0.831,0.014,0.739,0.007,1.358,0.008,155.9400124150683,-60.13841190033183
97,1227.61,468.051,14.208,0.011,1.228,0.015,0.841,0.017,0.742,0.013,1.37,0.016,155.94956654651057,-60.20739767519735
98,690.067,370.338,14.21,0.011,0.569,0.015,-0.107,0.01,0.406,0.014,0.747,0.017,156.03902876089955,-60.215003115593085
99,123.933,6.536,14.21,0.015,0.521,0.02,0.195,0.014,0.205,0.019,0.595,0.022,156.13369071663533,-60.24460214226465
100,1699.5,509.304,14.218,0.01,0.44,0.015,-0.103,0.011,0.325,0.013,0.583,0.017,155.87102075573532,-60.20445494692601
101,225.874,807.704,14.251,0.007,0.433,0.01,-0.061,0.009,0.31,0.01,0.55,0.012,156.1152106179531,-60.17861090316951
102,1368.69,826.763,14.252,0.009,0.326,0.012,0.022,0.009,0.289,0.013,0.541,0.014,155.9256297700857,-60.17801637309713
103,86.458,463.657,14.259,0.011,2.091,0.014,99.0,99.0,1.473,0.015,3.148,0.015,156.1389870082123,-60.20691208671221
104,781.829,1449.29,14.269,0.007,0.354,0.009,-0.081,0.008,0.315,0.009,0.591,0.013,156.02202086523522,-60.12608217166266
105,936.826,551.095,14.272,0.011,0.575,0.014,-0.001,0.011,0.397,0.014,0.722,0.016,155.99775755076084,-60.20031512286377
106,1422.22,1743.65,14.282,0.009,0.279,0.012,-0.153,0.009,0.265,0.012,0.472,0.016,155.91555078085798,-60.10246437772484
107,881.022,962.203,14.304,0.008,0.581,0.011,-0.072,0.01,0.414,0.01,0.73,0.014,156.0063701376131,-60.16639154783578
108,1382.9,1434.36,14.309,0.006,0.332,0.008,-0.201,0.006,0.309,0.009,0.564,0.011,155.92246858867807,-60.12795398658328
109,1121.88,1323.95,14.311,0.004,0.391,0.006,0.127,0.007,0.334,0.006,0.616,0.009,155.9658907287465,-60.13678089616545
110,1796.05,1506.63,14.316,0.006,0.596,0.009,-0.06,0.008,0.428,0.009,0.767,0.011,155.8538502614456,-60.122486963715
111,1818.28,1441.17,14.358,0.005,1.242,0.008,1.004,0.018,0.733,0.008,1.334,0.009,155.850231828019,-60.12791106152341
112,1115.76,796.246,14.404,0.009,0.551,0.013,-0.112,0.01,0.4,0.013,0.728,0.016,155.9676755889296,-60.18028530106156
113,444.168,1425.04,14.413,0.007,0.604,0.009,-0.017,0.008,0.426,0.009,0.782,0.012,156.0779290307829,-60.127768376123896
114,1299.33,1702.74,14.428,0.008,0.352,0.011,0.231,0.009,0.281,0.011,0.511,0.016,155.93596000555922,-60.10569744867906
115,759.844,1463.52,14.441,0.007,0.664,0.009,-0.032,0.008,0.455,0.009,0.797,0.012,156.02563641305764,-60.124884224410124
116,1075.05,885.133,14.445,0.009,0.372,0.012,-0.247,0.009,0.325,0.013,0.599,0.016,155.97430166153117,-60.172924224396425
117,1688.42,1882.32,14.455,0.011,0.488,0.014,-0.139,0.011,0.385,0.014,0.706,0.019,155.8712788072285,-60.091345947895874
118,1146.13,823.528,14.457,0.01,0.632,0.014,0.064,0.011,0.446,0.014,0.801,0.016,155.96259389867197,-60.1780665732612
