ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
741,1619.27,1195.48,17.907,0.015,1.933,0.053,98.88,99.0,1.151,0.017,2.265,0.019,150.27952121730007,-55.1235773437219
743,1634.21,1030.8,17.912,0.016,0.911,0.03,98.88,99.0,0.566,0.021,1.151,0.026,150.2776195793978,-55.13717369508142
742,625.023,891.535,17.912,0.022,1.154,0.041,98.88,99.0,0.716,0.025,1.345,0.029,150.42359633725306,-55.147978969770264
744,2008.54,692.115,17.913,0.02,1.406,0.075,98.88,99.0,1.222,0.023,2.436,0.025,150.22405162979777,-55.16522221475347
745,1680.69,1022.11,17.919,0.015,0.887,0.027,98.88,99.0,0.554,0.019,1.184,0.026,150.27092023986668,-55.137907807198275
746,903.81,1240.5,17.921,0.014,1.094,0.03,98.88,99.0,0.641,0.017,1.328,0.021,150.38277417859422,-55.119422942145086
747,690.513,1341.02,17.924,0.016,1.121,0.029,98.88,99.0,0.723,0.019,1.483,0.023,150.41341295829437,-55.11093321535414
748,2026.7,92.189,17.927,0.025,0.384,0.072,98.88,99.0,1.072,0.027,2.273,0.033,150.22220349512406,-55.214743873718966
749,689.541,401.141,17.931,0.017,1.049,0.04,98.88,99.0,0.648,0.02,1.366,0.028,150.41498887840072,-55.188537703334944
750,1676.7,247.326,17.939,0.019,0.989,0.035,98.88,99.0,0.564,0.024,1.22,0.028,150.27257501415406,-55.201860731367404
752,1418.21,1548.72,17.947,0.018,1.07,0.033,98.88,99.0,0.646,0.02,1.316,0.026,150.3079732324857,-55.09433506001416
753,1879.37,1951.52,17.949,0.017,0.596,0.036,98.88,99.0,0.715,0.02,1.341,0.026,150.24068144277905,-55.06128574769759
754,1815.15,917.803,17.951,0.019,1.241,0.045,98.88,99.0,0.753,0.022,1.45,0.028,150.25165800032082,-55.14655740353759
758,1306.34,1100.82,17.958,0.016,1.051,0.03,98.88,99.0,0.628,0.021,1.287,0.024,150.32486267281865,-55.1312372123769
757,581.625,181.182,17.958,0.02,1.517,0.047,98.88,99.0,0.871,0.023,1.81,0.027,150.43087568416655,-55.206601166517046
759,1323.07,1625.45,17.96,0.015,1.133,0.033,98.88,99.0,0.669,0.018,1.386,0.023,150.32157842460634,-55.08795032006285
760,1496.74,288.16,17.96,0.022,1.056,0.038,98.88,99.0,0.644,0.025,1.321,0.029,150.29852070316713,-55.198420791508575
