radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
143.452538,1.212,-50.045352,0.433,NA,NA,0,NA,NA,0,NA,NA,0,17.694,0.206,4,16.664,0.02,4,NA,NA,0,NA,NA,0,NA,NA,0
143.452661,0.153,-50.129395,0.304,10.538,0.033,6,11.065,0.04,6,NA,NA,0,11.995,2.453,8,10.411,0.12,8,10.114,0.644,8,8.293,0.011,2,NA,NA,0
143.452701,0.635,-50.569684,0.076,NA,NA,0,NA,NA,0,NA,NA,0,18.377,0.204,1,17.005,0.144,1,NA,NA,0,NA,NA,0,NA,NA,0
143.452933,0.547,-50.194104,0.27,17.139,0.165,1,18.451,0.318,1,NA,NA,0,17.709,0.101,4,16.962,0.098,4,16.546,0.089,2,NA,NA,0,NA,NA,0
143.453499,0.438,-50.273723,0.247,13.858,0.016,6,15.351,0.047,6,NA,NA,0,14.592,0.026,6,13.334,0.033,6,12.747,0.021,6,12.529,0.087,1,NA,NA,0
143.453502,0.373,-49.99239,0.643,14.521,0.04,6,15.438,0.053,6,NA,NA,0,14.989,0.02,6,14.256,0.036,6,13.933,0.062,6,NA,NA,0,NA,NA,0
143.453616,0.543,-50.54553,0.238,15.679,0.05,6,16.408,0.071,6,NA,NA,0,16.004,0.058,6,15.44,0.055,6,15.209,0.136,5,NA,NA,0,NA,NA,0
143.45376,0.217,-50.370672,0.166,NA,NA,0,NA,NA,0,NA,NA,0,18.163,0.175,1,17.322,0.2,1,NA,NA,0,NA,NA,0,NA,NA,0
143.454009,0.237,-50.609576,0.279,NA,NA,0,NA,NA,0,NA,NA,0,17.771,0.042,2,16.852,0.138,2,NA,NA,0,NA,NA,0,NA,NA,0
143.454228,0.216,-50.149037,0.27,14.304,0.036,6,16.244,0.079,6,NA,NA,0,15.284,0.029,6,13.549,0.045,6,12.69,0.025,6,12.217,0.081,2,NA,NA,0
143.454649,0.273,-50.199033,0.072,NA,NA,0,NA,NA,0,NA,NA,0,18.606,0.259,1,17.336,0.201,1,NA,NA,0,NA,NA,0,NA,NA,0
143.45466,0.171,-50.324191,0.074,NA,NA,0,NA,NA,0,NA,NA,0,18.456,0.247,1,17.522,0.284,1,NA,NA,0,NA,NA,0,NA,NA,0
143.45484,0.31,-49.998663,0.192,NA,NA,0,NA,NA,0,NA,NA,0,17.893,0.048,3,16.27,0.068,3,15.332,0.086,3,NA,NA,0,NA,NA,0
