radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
150.000516,0.558,-54.667065,0.398,16.564,0.131,1,18.248,0.375,1,NA,NA,0,17.22,0.088,6,16.249,0.04,6,16.129,0.259,2,NA,NA,0,NA,NA,0
150.000568,0.324,-54.673232,0.289,NA,NA,0,NA,NA,0,NA,NA,0,17.842,0.132,3,16.804,0.05,3,16.298,0.33,1,NA,NA,0,NA,NA,0
150.000852,1.072,-54.600202,0.29,14.48,0.038,3,15.23,0.084,3,NA,NA,0,14.816,0.045,9,14.282,0.032,8,14.08,0.037,9,14.269,6.56,1,NA,NA,0
150.000896,0.246,-55.039582,0.191,15.069,0.014,3,15.764,0.051,3,NA,NA,0,15.395,0.028,9,14.933,0.029,9,14.751,0.055,9,NA,NA,0,NA,NA,0
150.000906,0.439,-54.64048,0.422,13.287,0.029,4,14.001,0.057,4,NA,NA,0,13.614,0.029,10,13.097,0.026,9,12.886,0.029,10,12.863,0.07,7,NA,NA,0
150.000968,0.222,-55.251457,0.199,14.471,0.018,1,15.081,0.02,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
150.001555,0.259,-54.872773,0.204,16.228,0.031,3,17.225,0.153,3,NA,NA,0,16.753,0.067,9,15.893,0.048,9,15.493,0.119,9,NA,NA,0,NA,NA,0
150.0018,0.35,-54.981394,0.323,NA,NA,0,NA,NA,0,NA,NA,0,17.322,0.042,3,16.3,0.021,3,16.034,0.099,2,NA,NA,0,NA,NA,0
150.002024,0.315,-54.881425,0.186,NA,NA,0,NA,NA,0,NA,NA,0,17.751,0.136,4,16.998,0.118,4,NA,NA,0,NA,NA,0,NA,NA,0
150.002226,0.262,-55.002283,0.307,14.876,0.028,3,16.697,0.087,3,NA,NA,0,15.789,0.042,9,14.221,0.021,9,13.431,0.052,9,12.966,0.166,5,NA,NA,0
150.002367,0.299,-55.021581,0.387,13.007,0.019,3,13.201,0.025,3,NA,NA,0,13.035,0.023,9,13.067,0.021,9,13.171,0.022,9,13.393,0.102,7,NA,NA,0
150.00241,0.427,-54.890222,0.458,15.677,0.01,3,16.582,0.007,3,NA,NA,0,16.097,0.045,9,15.363,0.061,8,15.046,0.07,8,NA,NA,0,NA,NA,0
150.002614,0.649,-55.29262,0.313,NA,NA,0,NA,NA,0,NA,NA,0,18.346,0.248,3,16.079,0.045,3,14.806,0.02,3,NA,NA,0,NA,NA,0
150.002896,0.387,-55.44026,0.429,NA,NA,0,NA,NA,0,NA,NA,0,17.754,0.106,6,16.587,0.121,6,16.043,0.155,4,NA,NA,0,NA,NA,0
150.003095,0.407,-55.312199,0.342,12.747,0.028,3,12.988,0.032,3,NA,NA,0,12.788,0.023,9,12.767,0.024,9,12.846,0.019,9,12.966,0.149,6,NA,NA,0
150.003619,0.413,-55.205665,0.323,14.809,0.026,3,15.408,0.114,3,NA,NA,0,15.101,0.057,9,14.647,0.033,9,14.405,0.065,9,NA,NA,0,NA,NA,0
