radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
186.04169,0.528,-61.887087,0.282,13.35,0.025,3,14.072,0.017,3,NA,NA,0,13.663,0.015,2,13.123,0.025,2,12.89,0.059,2,12.844,0.056,2,NA,NA,0
186.041806,0.14,-61.866937,0.13,12.158,0.029,4,12.488,0.024,4,NA,NA,0,12.273,0.029,3,12.116,0.02,3,12.082,0.049,3,12.113,0.016,2,NA,NA,0
186.04229,0.536,-61.665792,0.232,14.761,0.048,4,16.256,0.046,4,NA,NA,0,15.542,0.024,4,14.065,0.027,4,13.051,0.043,4,12.535,0.112,1,NA,NA,0
186.042316,0.157,-61.90332,0.19,NA,NA,0,NA,NA,0,NA,NA,0,17.73,0.24,1,16.96,0.313,1,NA,NA,0,NA,NA,0,NA,NA,0
186.042427,0.471,-61.412506,0.286,NA,NA,0,NA,NA,0,NA,NA,0,16.627,0.141,4,15.633,0.086,3,15.286,0.097,2,NA,NA,0,NA,NA,0
186.042591,0.441,-61.52636,0.292,15.957,0.088,1,17.559,0.213,1,NA,NA,0,16.788,0.135,1,15.554,0.108,1,NA,NA,0,NA,NA,0,NA,NA,0
186.042603,0.27,-62.337031,0.096,14.982,0.064,4,15.564,0.034,4,NA,NA,0,15.256,0.077,4,14.883,0.017,4,14.666,0.06,4,NA,NA,0,NA,NA,0
186.042703,0.289,-61.818515,0.321,13.745,0.026,4,14.14,0.012,4,NA,NA,0,13.885,0.02,4,13.668,0.003,3,13.623,0.061,3,13.818,0.251,1,NA,NA,0
186.042814,0.329,-61.951299,0.365,14.496,0.031,4,15.298,0.054,4,NA,NA,0,14.891,0.027,4,14.245,0.024,4,13.945,0.049,4,NA,NA,0,NA,NA,0
186.042945,0.324,-61.855461,0.275,12.049,0.004,2,12.352,0.006,2,NA,NA,0,12.142,0.003,1,12.006,0.005,1,NA,NA,0,11.981,0.057,1,NA,NA,0
186.043049,0.892,-61.877755,0.278,13.644,0.027,1,14.257,0.032,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,13.195,0.183,1,NA,NA,0
