ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
459,954.536,1160.54,17.2813,0.0009,1.261,1.13,0.018,0.022,0.77,0
443,977.108,1184.63,17.2867,0.0011,1.171,1.039,0.015,0.017,0.77,0
449,1293.3,1571.52,17.3288,0.0009,1.13,0.975,0.016,0.019,0.77,0
553,1023.98,1412.84,17.5081,0.001,1.237,1.094,0.018,0.023,0.77,0
523,1403.61,1392.0,17.578,0.0011,1.012,0.828,0.02,0.022,0.77,0
857,1256.54,1420.44,18.2544,0.0015,1.044,0.88,0.03,0.03,0.77,0
398,740.586,1641.64,17.1176,0.0008,1.193,1.126,0.016,0.022,0.76,0
457,1409.21,1504.19,17.2281,0.0008,1.347,1.304,0.017,0.025,0.76,0
418,829.687,1651.21,17.2319,0.0008,1.171,0.984,0.017,0.022,0.76,0
490,1096.24,1459.31,17.3871,0.001,1.166,0.999,0.017,0.024,0.76,0
477,773.49,1511.97,17.3966,0.001,1.096,0.977,0.018,0.023,0.76,0
533,1359.65,1415.13,17.4023,0.001,1.357,1.283,0.02,0.025,0.76,0
522,1026.94,1528.25,17.4322,0.001,1.262,1.067,0.017,0.021,0.76,0
561,1081.93,1421.84,17.5726,0.0012,1.162,1.124,0.021,0.027,0.76,0
707,1241.86,1339.85,17.9915,0.0013,0.987,0.885,0.028,0.032,0.76,0
790,1174.47,1420.47,18.09,0.0015,1.033,0.84,0.028,0.029,0.76,0
809,978.521,1451.55,18.1244,0.0016,1.065,0.921,0.029,0.03,0.76,0
297,1324.5,1223.32,16.8644,0.0007,1.044,0.917,0.016,0.017,0.759,0
201,1046.52,1194.44,16.3532,0.0013,1.031,0.919,0.011,0.011,0.757,0
288,861.289,1126.96,16.8048,0.0008,1.036,0.96,0.013,0.016,0.756,0
499,1290.08,1660.13,17.4037,0.0011,1.244,1.106,0.018,0.025,0.75,0
518,1036.45,1210.99,17.4493,0.001,1.239,1.087,0.02,0.024,0.75,0
502,681.705,1230.18,17.5134,0.001,0.972,0.818,0.019,0.024,0.75,0
610,949.846,1524.61,17.5812,0.0012,1.34,1.255,0.023,0.028,0.75,0
551,1129.77,1260.5,17.6264,0.0013,1.102,0.942,0.019,0.022,0.75,0
617,777.394,1381.13,17.6295,0.0012,1.255,1.105,0.019,0.022,0.75,0
571,757.749,1278.29,17.6581,0.0011,1.045,0.975,0.021,0.026,0.75,0
606,671.466,1205.99,17.6797,0.001,1.12,1.053,0.021,0.025,0.75,0
593,1427.99,1551.34,17.7013,0.0011,1.004,0.813,0.026,0.026,0.75,0
1205,1367.46,1502.05,18.9275,0.0024,1.098,1.046,0.053,0.071,0.75,0
1217,1339.13,1250.03,18.9303,0.0024,1.227,0.819,0.059,0.065,0.75,0
230,1091.79,1178.06,16.6245,0.0023,0.934,0.79,0.01,0.013,0.748,0
263,1128.06,1769.86,17.0041,0.0037,1.111,0.974,0.026,0.027,0.74,0
539,994.357,1141.94,17.4258,0.0013,1.479,1.185,0.022,0.039,0.74,0
516,1150.67,1484.55,17.5121,0.001,1.09,0.93,0.019,0.024,0.74,0
510,1150.83,1218.99,17.5858,0.0015,0.922,0.814,0.023,0.029,0.74,0
535,882.824,1368.33,17.6084,0.0011,0.977,0.847,0.023,0.023,0.74,0
715,698.999,1596.29,17.7218,0.0011,1.491,1.449,0.024,0.039,0.74,0
612,771.353,1279.54,17.7769,0.0012,0.925,0.763,0.021,0.026,0.74,0
682,763.606,1374.52,17.8119,0.0011,1.146,1.008,0.023,0.029,0.74,0
730,960.293,1720.87,17.968,0.0013,1.091,0.969,0.026,0.034,0.74,0
781,1055.52,1320.87,18.1075,0.0015,1.022,0.863,0.025,0.031,0.74,0
820,1092.88,1528.23,18.1921,0.0016,1.051,0.897,0.028,0.033,0.74,0
907,1314.58,1420.68,18.3178,0.0016,1.033,0.838,0.035,0.032,0.74,0
613,1073.3,1449.29,17.6727,0.002,1.11,0.853,0.027,0.031,0.73,0
619,1038.46,1012.27,17.7858,0.0014,1.043,0.898,0.026,0.029,0.73,0
685,1027.72,1745.59,17.8381,0.0012,1.091,0.921,0.024,0.029,0.73,0
699,1001.18,1376.11,17.9424,0.0015,0.998,0.814,0.025,0.027,0.73,0
716,716.96,1348.18,17.9565,0.0013,1.088,0.898,0.029,0.036,0.73,0
