ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
633,1508.06,1382.42,17.1496,0.0012,0.919,nan,0.023,nan,0.622,-7.379,2.333,0.0748,0.139,0.134,0.67,-1
636,867.716,1329.79,17.1561,0.0009,1.019,nan,0.022,nan,0.5463,-7.9,5.155,0.0689,0.131,0.12,0.57,-1
638,1497.94,1226.01,17.1779,0.0009,0.967,nan,0.023,nan,0.4741,-8.227,7.588,0.0746,0.141,0.128,0.56,-1
643,1026.73,1360.82,17.3728,0.002,0.919,nan,0.034,nan,0.559,-7.583,6.637,0.082,0.172,0.151,0.55,-1
653,800.862,1118.2,16.3785,0.0008,2.184,nan,0.045,nan,0.1804,-4.356,2.835,0.0534,0.116,0.091,0.59,-1
654,1184.2,1298.15,17.1121,0.0014,1.177,nan,0.024,nan,0.1254,-4.863,2.826,0.0895,0.167,0.149,0.55,-1
656,1494.35,1429.2,17.2606,0.0009,0.907,nan,0.021,nan,0.4776,-0.459,7.569,0.084,0.138,0.126,0.55,-1
661,972.302,1033.29,17.2956,0.0009,0.985,nan,0.024,nan,0.5923,-6.372,1.104,0.0772,0.14,0.129,0.56,-1
662,1368.68,1083.39,17.2344,0.0011,1.031,nan,0.025,nan,0.0215,-6.271,2.311,0.0848,0.157,0.155,0.55,-1
664,1011.73,1597.2,16.9586,0.001,1.387,nan,0.029,nan,1.5089,-2.196,-16.147,0.0662,0.141,0.116,0.57,-1
672,1483.3,1189.18,16.9068,0.0016,1.202,nan,0.026,nan,0.2915,-5.043,3.59,0.068,0.132,0.118,0.57,-1
675,1186.02,853.7,17.2258,0.0009,1.039,nan,0.028,nan,0.2747,-5.645,4.989,0.0743,0.128,0.116,0.56,-1
678,1446.24,1126.63,17.3469,0.0011,0.909,nan,0.025,nan,0.2617,-5.188,2.937,0.0876,0.163,0.155,0.69,-1
683,878.504,1432.34,17.305,0.0021,0.945,nan,0.025,nan,0.9109,-8.378,5.089,0.1149,0.187,0.207,0.53,-1
688,1401.82,1104.63,17.4553,0.0019,0.882,nan,0.024,nan,0.666,-4.907,2.122,0.0846,0.16,0.147,0.55,-1
696,1242.17,953.599,16.8723,0.0016,1.363,nan,0.04,nan,0.4424,-5.382,3.244,0.0728,0.135,0.115,0.57,-1
698,1040.13,1701.42,17.3888,0.001,0.857,nan,0.022,nan,0.366,-3.968,3.829,0.0784,0.15,0.134,0.56,-1
707,972.307,1347.88,17.35,0.0011,1.031,nan,0.027,nan,0.2254,-4.69,3.092,0.0951,0.192,0.172,0.69,-1
709,1086.88,1243.83,17.3439,0.0011,0.992,nan,0.026,nan,0.4048,-7.425,6.17,0.084,0.155,0.136,0.56,-1
710,943.089,981.593,17.3917,0.0014,1.044,nan,0.034,nan,0.5075,-6.438,3.183,0.1058,0.192,0.182,0.52,-1
716,1308.27,1080.54,17.453,0.0012,0.946,nan,0.024,nan,0.3717,-6.348,4.934,0.0891,0.159,0.153,0.54,-1
720,1368.45,1623.52,17.3402,0.0011,1.082,nan,0.029,nan,0.7708,-4.883,4.968,0.0814,0.144,0.136,0.56,-1
721,1221.95,1521.4,17.2668,0.001,1.112,nan,0.028,nan,0.8831,3.474,-6.022,0.0755,0.146,0.13,0.55,-1
722,1112.01,1673.41,17.351,0.0017,1.049,nan,0.029,nan,0.3341,-8.691,3.223,0.1172,0.221,0.208,0.52,-1
733,1126.53,1618.39,17.4897,0.0011,0.906,nan,0.025,nan,0.5537,-4.571,4.281,0.0838,0.157,0.143,0.55,-1
743,655.119,1324.95,17.1145,0.0009,1.517,nan,0.04,nan,0.3046,-6.381,3.573,0.0689,0.134,0.115,0.56,-1
1269,881.518,1717.05,18.6622,0.0024,1.0,nan,0.083,nan,0.4411,-10.254,5.186,0.1696,0.32,0.291,0.48,-1
748,871.573,1542.45,16.7906,0.0008,1.945,nan,0.06,nan,0.1327,-5.492,3.391,0.0683,0.146,0.116,0.56,-1
758,1297.37,1385.88,17.5257,0.0011,1.039,nan,0.027,nan,0.2938,-8.554,6.273,0.0916,0.161,0.143,0.55,-1
761,1486.62,1567.59,17.549,0.0011,0.868,nan,0.028,nan,0.5246,-7.029,1.712,0.0879,0.158,0.147,0.55,-1
764,1084.87,951.264,17.3378,0.001,1.228,nan,0.039,nan,0.1916,-6.818,3.202,0.084,0.144,0.131,0.56,-1
765,801.588,1679.74,17.5724,0.0013,0.98,nan,0.035,nan,0.3475,-5.495,2.683,0.0873,0.175,0.15,0.54,-1
766,997.99,1161.81,17.5187,0.0012,1.005,nan,0.03,nan,0.4069,-5.67,2.756,0.0952,0.174,0.148,0.54,-1
776,887.234,1366.62,17.3723,0.0011,1.257,nan,0.033,nan,0.0198,-5.586,3.117,0.0881,0.153,0.151,0.54,-1
786,1544.8,1132.34,17.5513,0.0011,1.062,nan,0.03,nan,0.2361,-5.911,4.182,0.0879,0.155,0.146,0.55,-1
792,739.966,1367.84,17.6568,0.0012,0.942,nan,0.029,nan,0.2177,-6.095,3.288,0.1015,0.185,0.17,0.67,-1
799,899.654,1271.69,17.65,0.0012,0.95,nan,0.029,nan,0.2847,-5.789,3.845,0.0969,0.175,0.165,0.68,-1
802,1327.66,1365.35,17.4917,0.001,1.157,nan,0.035,nan,0.3636,-5.167,2.208,0.0959,0.161,0.142,0.55,-1
803,853.851,1534.81,17.6412,0.0012,0.903,nan,0.032,nan,0.1936,-5.244,3.142,0.0951,0.185,0.161,0.55,-1
