ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,MP,sel
2467,2646.61,1944.31,16.7985,0.0009,1.131,0.436,0.004,0.01,0.116,0
2867,2350.38,2048.29,17.2353,0.001,0.909,0.258,0.005,0.01,0.114,0
2370,2059.24,1413.38,16.9376,0.0009,0.961,0.359,0.008,0.022,0.111,0
1378,2833.91,2169.69,15.9905,0.0006,1.144,0.951,0.003,0.009,0.109,0
2387,2487.29,1582.86,17.1343,0.0013,0.908,0.422,0.015,0.029,0.096,0
1192,2687.78,1942.54,15.9071,0.0005,0.852,0.35,0.003,0.005,0.088,0
1190,2937.97,1459.45,15.8068,0.0009,1.12,0.727,0.003,0.021,0.082,0
1188,2400.22,2147.58,15.8234,0.0009,0.783,0.381,0.003,0.005,0.074,0
3725,2246.93,1907.57,17.744,0.0013,1.1,0.476,0.007,0.02,0.07,0
1741,2167.25,1651.17,16.4083,0.0007,1.012,0.62,0.003,0.018,0.066,0
1996,2530.07,1596.88,16.4965,0.0009,1.145,1.042,0.004,0.039,0.066,0
2380,2350.8,2192.72,16.9487,0.0008,0.851,0.276,0.004,0.009,0.06,0
3211,2280.47,1259.02,17.5376,0.001,0.894,0.178,0.005,0.029,0.059,0
894,2013.31,1628.33,15.4111,0.0005,1.06,0.721,0.003,0.009,0.047,0
3750,2534.44,2192.23,17.853,0.0014,1.006,0.4,0.006,0.017,0.043,0
1147,2747.46,2096.26,15.3048,0.0004,1.701,1.447,0.003,0.016,0.028,0
3382,2568.3,2027.4,17.6772,0.0011,0.872,0.303,0.005,0.015,0.024,0
906,2513.87,1933.98,15.5483,0.0005,0.757,0.137,0.002,0.004,0.017,0
4462,2603.34,1560.36,18.2635,0.0018,1.185,0.506,0.01,0.043,0.015,0
1143,2424.53,2237.07,15.8513,0.0005,0.766,0.227,0.003,0.005,0.009,0
2565,2495.95,1288.54,17.1098,0.001,0.814,0.134,0.003,0.024,0.009,0
2870,2484.18,1898.1,17.2493,0.001,1.063,0.638,0.004,0.017,0.002,0
675,2109.5,1570.09,15.1285,0.0059,0.878,0.253,0.004,0.007,0.0,0
1647,2583.46,1760.98,16.0522,0.0028,1.271,0.772,0.004,0.01,0.0,0
1577,2890.04,1565.53,16.2903,0.008,1.012,0.608,0.003,0.016,0.0,0
2040,2817.15,1568.95,16.7182,0.0055,0.993,0.434,0.004,0.022,0.0,0
2390,2646.88,1927.57,16.7982,0.0009,1.047,0.427,0.004,0.009,0.0,0
3433,2535.9,1704.42,17.6699,0.0012,0.905,0.258,0.005,0.018,0.0,0
2,2370.31,1524.68,8.4474,0.0006,0.035,-0.997,0.009,0.047,0.489,0
808,2705.38,1134.27,15.4027,0.0004,0.757,nan,0.002,nan,0.26,-1
811,2682.1,2255.71,15.4068,0.0004,0.73,nan,0.003,nan,0.62,-1
877,2901.01,1227.9,15.5102,0.0005,0.725,nan,0.002,nan,0.64,-1
1066,3002.33,1363.71,15.7547,0.0005,0.834,nan,0.003,nan,0.34,-1
1156,3111.47,1613.31,15.9098,0.0006,0.688,nan,0.002,nan,0.19,-1
1158,2993.73,1369.73,15.9499,0.0044,0.925,nan,0.003,nan,0.07,-1
1281,2424.37,1440.1,15.7082,0.0005,1.157,nan,0.003,nan,0.76,-1
1517,2398.63,1706.39,15.499,0.0005,1.991,nan,0.004,nan,0.74,-1
1646,2869.56,1537.63,15.5301,0.0005,2.068,nan,0.005,nan,0.02,-1
1699,2807.42,1167.82,16.3297,0.0009,1.101,nan,0.004,nan,0.66,-1
1925,2845.84,1303.86,16.5346,0.0009,1.058,nan,0.003,nan,0.22,-1
2042,2889.94,1676.16,15.8304,0.0005,2.047,nan,0.011,nan,0.63,-1
2120,1940.93,1679.04,16.1645,0.0005,1.713,nan,0.005,nan,0.2,-1
2133,2347.3,1426.26,16.0863,0.0007,1.892,nan,0.008,nan,0.66,-1
2153,2504.82,1228.97,15.5389,0.0006,2.471,nan,0.008,nan,0.73,-1
2237,2701.7,1252.09,16.8277,0.0009,0.921,nan,0.003,nan,0.43,-1
2362,2479.58,1612.78,15.9994,0.0007,2.178,nan,0.009,nan,0.59,-1
2655,3042.99,1499.98,16.5419,0.0008,1.823,nan,0.008,nan,0.87,-1
2701,1973.42,1562.79,17.2081,0.0021,1.1,nan,0.013,nan,0.55,-1
2714,2486.17,1616.63,16.4235,0.0008,2.027,nan,0.014,nan,0.26,-1
2733,2257.99,1284.12,17.1057,0.001,1.216,nan,0.006,nan,0.2,-1
2742,2448.05,1419.18,16.0594,0.0007,2.451,nan,0.012,nan,0.24,-1
2918,2329.43,2102.1,17.1836,0.0009,1.231,nan,0.006,nan,0.24,-1
2934,3000.86,1489.8,17.283,0.0009,1.069,nan,0.004,nan,0.26,-1
2946,2367.47,1610.01,17.5222,0.0012,0.842,nan,0.02,nan,0.59,-1
2969,2318.82,1987.43,16.1204,0.0006,2.505,nan,0.013,nan,0.68,-1
2971,2865.97,1218.22,17.2661,0.0013,1.017,nan,0.006,nan,0.67,-1
2973,2325.82,1144.96,17.0934,0.0009,1.302,nan,0.008,nan,0.68,-1
2978,2708.45,1124.82,17.2925,0.0011,0.993,nan,0.006,nan,0.56,-1
3016,2388.33,1314.17,16.9579,0.0011,1.579,nan,0.007,nan,0.08,-1
3058,2000.06,1521.61,17.169,0.001,1.257,nan,0.006,nan,0.18,-1
3140,2169.31,1515.72,17.4439,0.0009,0.972,nan,0.004,nan,0.55,-1
3180,2315.85,1798.49,16.9222,0.001,1.504,nan,0.006,nan,0.38,-1
3228,2524.4,1328.42,17.1514,0.0013,1.54,nan,0.007,nan,0.09,-1
3264,2816.46,1318.44,17.6051,0.0017,1.201,nan,0.017,nan,0.18,-1
3345,2649.71,1331.4,16.9512,0.001,1.917,nan,0.009,nan,0.57,-1
3377,2733.08,2061.8,16.7404,0.0008,2.164,nan,0.013,nan,0.53,-1
3423,2162.98,1222.63,17.5163,0.0012,1.126,nan,0.006,nan,0.46,-1
3455,2074.29,1625.83,17.6066,0.0025,1.227,nan,0.006,nan,0.61,-1
3474,2881.61,1356.09,17.62,0.0014,1.28,nan,0.013,nan,0.0,-1
3548,2485.05,1413.73,17.529,0.0013,1.176,nan,0.009,nan,0.72,-1
3580,2763.29,1388.39,17.5335,0.0012,1.245,nan,0.008,nan,0.11,-1
3583,2408.02,2229.33,16.7527,0.0007,2.121,nan,0.014,nan,0.56,-1
3602,2946.46,1297.43,17.7846,0.0013,1.059,nan,0.006,nan,0.42,-1
3609,2413.61,1228.16,17.7297,0.0023,1.087,nan,0.008,nan,0.18,-1
3673,2473.46,1473.86,17.7049,0.0012,1.083,nan,0.006,nan,0.74,-1
3726,2886.1,1830.69,17.575,0.0014,1.289,nan,0.007,nan,0.64,-1
3760,2652.89,2243.63,17.8049,0.0016,1.02,nan,0.007,nan,0.12,-1
3774,2608.69,1594.18,17.9738,0.0015,1.089,nan,0.011,nan,0.08,-1
3787,2376.11,1395.06,17.7954,0.0014,1.119,nan,0.018,nan,0.04,-1
3821,2008.31,1426.29,17.9451,0.0016,1.143,nan,0.01,nan,0.34,-1
3822,2556.41,1752.7,17.819,0.0014,1.183,nan,0.009,nan,0.22,-1
3835,2778.41,1152.72,17.7332,0.0015,1.208,nan,0.007,nan,0.69,-1
3840,2506.66,1197.35,17.8679,0.0015,1.187,nan,0.008,nan,0.47,-1
3847,3039.44,1449.18,17.9131,0.0014,1.148,nan,0.007,nan,0.61,-1
3857,2303.86,1618.49,17.7744,0.0013,1.368,nan,0.009,nan,0.5,-1
3859,2201.04,1414.47,17.7221,0.0013,1.315,nan,0.007,nan,0.26,-1
3863,2499.78,1561.18,17.803,0.0014,1.294,nan,0.009,nan,0.19,-1
3878,2003.71,1532.74,17.9725,0.0057,1.173,nan,0.008,nan,0.24,-1
3881,2805.83,1671.44,18.3292,0.0049,1.202,nan,0.015,nan,0.14,-1
