ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,Vrerr,VI,VIerr
3819,1589.04,907.778,18.314,0.004,2.334,0.017,99,99,99.999,99,2.662,0.005
3820,2362.99,3245.71,18.314,0.005,1.275,0.021,99,99,99.999,99,1.649,0.006
3821,2008.31,1426.29,18.314,0.009,1.143,0.01,99,99,99.999,99,1.25,0.013
3822,2556.41,1752.7,18.315,0.005,1.183,0.009,99,99,99.999,99,1.337,0.007
3823,3337.66,2753.19,18.315,0.014,1.08,0.03,99,99,99.999,99,1.246,0.024
3824,2179.25,563.437,18.315,0.017,1.134,0.032,99,99,99.999,99,1.26,0.025
3825,2505.72,707.744,18.315,0.018,1.335,0.019,99,99,99.999,99,1.062,0.052
3826,1311.09,1658.09,18.316,0.004,2.377,0.02,99,99,99.999,99,2.822,0.005
3827,2517.16,514.987,18.316,0.019,1.09,0.03,99,99,99.999,99,1.352,0.027
3828,2029.85,3820.3,18.317,0.018,1.038,0.028,99,99,99.999,99,1.282,0.038
3829,3909.15,1293.39,18.319,0.016,1.274,0.039,99,99,99.999,99,1.675,0.021
3830,3792.26,971.094,18.319,0.019,1.268,0.04,99,99,99.999,99,1.6,0.027
3831,598.837,283.561,18.319,0.014,1.012,0.027,99,99,99.999,99,1.232,0.028
3832,3511.86,583.302,18.322,0.019,1.441,0.039,99,99,99.999,99,1.648,0.025
3833,772.864,2009.42,18.322,0.005,1.129,0.007,99,99,99.999,99,1.653,0.011
3834,3551.19,2580.18,18.323,0.018,1.517,0.045,99,99,99.999,99,2.287,0.024
3835,2778.41,1152.72,18.323,0.004,1.208,0.007,99,99,99.999,99,1.581,0.006
