ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr
1026,1019.5,190.802,18.683,0.032,1.19,0.05,99,99,0.81,0.038,1.438,0.042
1027,1670.01,1774.56,18.683,0.048,1.298,0.074,99,99,99,99,1.586,0.072
1028,347.875,1843.07,18.684,0.043,1.175,0.069,99,99,0.692,0.062,1.387,0.065
1029,375.03,1137.64,18.687,0.027,1.28,0.053,99,99,0.912,0.031,1.725,0.037
1030,1003.6,2002.45,18.688,0.031,1.343,0.062,99,99,0.822,0.036,1.63,0.039
1032,387.969,919.483,18.689,0.035,1.379,0.066,99,99,0.86,0.04,1.661,0.047
1033,1811.26,1728.81,18.691,0.024,1.245,0.052,99,99,0.81,0.031,1.509,0.037
1034,1865.48,578.117,18.695,0.036,1.187,0.065,99,99,0.78,0.04,1.491,0.05
1035,1136.99,165.245,18.696,0.032,1.692,0.087,99,99,0.998,0.036,1.889,0.04
1036,179.543,1656.58,18.697,0.023,1.118,0.044,99,99,0.812,0.031,1.45,0.037
1037,1306.21,1184.02,18.698,0.028,1.336,0.055,99,99,0.983,0.032,1.751,0.037
1038,1434.67,103.587,18.699,0.037,1.186,0.069,99,99,0.84,0.043,1.523,0.047
1039,1456.69,1552.36,18.699,0.027,1.1,0.049,99,99,0.756,0.034,1.358,0.043
1040,541.786,1455.78,18.7,0.028,1.238,0.054,99,99,0.821,0.034,1.514,0.041
1041,243.913,45.708,18.701,0.034,1.305,0.065,99,99,0.763,0.041,1.57,0.043
1042,1587.43,1475.4,18.702,0.026,1.111,0.052,99,99,0.856,0.03,1.571,0.036
1043,336.636,766.328,18.703,0.035,1.273,0.062,99,99,0.812,0.041,1.468,0.049
1044,257.154,671.826,18.709,0.035,1.583,0.074,99,99,0.875,0.04,1.798,0.042
1045,2027.96,806.496,18.71,0.028,0.788,0.066,99,99,0.713,0.035,1.747,0.047
1047,1072.55,860.431,18.717,0.031,1.199,0.053,99,99,0.865,0.038,1.644,0.039
1048,108.519,1930.49,18.719,0.217,-0.662,0.407,99,99,99,99,99,99
1049,1978.82,1168.81,18.72,0.036,1.158,0.063,99,99,0.777,0.042,1.446,0.047
1050,1535.36,1125.81,18.721,0.037,1.259,0.057,99,99,0.904,0.04,1.745,0.043
1052,161.89,711.288,18.725,0.038,1.434,0.074,99,99,0.765,0.045,1.585,0.049
1053,1982.18,979.157,18.725,0.029,1.212,0.059,99,99,0.67,0.039,1.236,0.05
1054,1656.96,48.89,18.726,0.033,1.929,0.092,99,99,1.03,0.04,2.016,0.044
1055,359.03,689.852,18.727,0.033,1.255,0.061,99,99,0.78,0.04,1.445,0.052
