ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
72,988.098,963.881,14.8844,0.0003,0.801,0.704,0.226,0.01,0.009,0.014,0.7823,-7.077,7.244,0.0286,0.035,0.031,0.599,0
133,1190.12,1011.71,15.7082,0.0004,0.929,0.851,0.381,0.009,0.009,0.028,0.2621,-7.412,1.589,0.0392,0.048,0.041,0.554,0
174,847.155,1340.02,16.0311,0.0005,0.877,0.777,0.324,0.009,0.009,0.032,0.3131,-7.985,-0.226,0.044,0.057,0.046,0.505,0
404,1043.3,833.138,17.244,0.0007,0.832,0.712,0.115,0.023,0.02,0.059,0.236,-8.509,0.154,0.0858,0.108,0.085,0.485,0
74,752.738,669.198,14.8978,0.0003,0.794,0.676,0.163,0.013,0.011,0.013,0.6542,-6.093,-5.302,0.0328,0.041,0.033,0.48,0
231,848.776,1350.68,16.4465,0.0005,0.811,0.706,0.139,0.012,0.012,0.035,0.293,-8.137,-0.19,0.053,0.068,0.056,0.479,0
462,728.756,1147.39,17.5248,0.0008,0.706,0.566,-0.003,0.025,0.019,0.064,0.2558,0.176,-3.817,0.099,0.126,0.098,0.424,0
154,1233.7,993.2,15.898,0.0004,0.753,0.613,0.119,0.011,0.009,0.019,0.3896,-3.164,1.036,0.0443,0.054,0.047,0.395,0
117,869.294,1285.56,15.56,0.0004,0.82,0.684,0.144,0.008,0.008,0.017,0.3063,-1.102,-0.81,0.035,0.044,0.038,0.382,0
92,840.996,1231.92,15.0218,0.0003,1.25,1.124,0.849,0.007,0.007,0.033,0.1815,-6.449,1.933,0.0306,0.043,0.033,0.308,0
151,1023.57,1247.63,15.8616,0.0004,0.764,0.618,0.083,0.008,0.008,0.021,0.3924,-8.79,1.039,0.0418,0.054,0.047,0.266,0
50,766.717,969.007,14.365,0.0002,0.839,0.747,0.265,0.01,0.009,0.01,0.6142,-15.516,-4.209,0.0239,0.03,0.026,0.229,0
212,714.16,996.75,16.2955,0.0005,0.942,0.821,0.281,0.022,0.009,0.039,0.3148,-11.915,-0.493,0.0537,0.069,0.053,0.205,0
140,1213.99,969.709,15.7715,0.0004,0.817,0.688,0.15,0.012,0.012,0.024,0.538,-12.453,15.006,0.0398,0.05,0.043,0.201,0
413,797.649,1200.84,17.2734,0.0008,0.967,0.801,0.051,0.017,0.019,0.064,0.3128,-10.42,0.195,0.0865,0.111,0.086,0.2,0
243,939.03,945.416,16.467,0.0005,0.865,0.737,0.28,0.016,0.013,0.061,0.3757,-15.594,0.62,0.0569,0.072,0.059,0.151,0
22,846.959,922.477,13.2651,0.0002,1.265,1.237,1.18,0.007,0.007,0.013,0.3085,-9.614,2.02,0.02,0.024,0.021,0.04,0
31,765.688,937.617,13.922,0.0002,0.825,0.695,0.184,0.013,0.011,0.009,0.5588,-9.489,2.878,0.0219,0.027,0.024,0.016,0
20,691.822,1184.94,13.4171,0.0002,0.745,0.686,0.269,0.005,0.005,0.005,0.9592,-14.914,1.266,0.0191,0.023,0.021,0.014,0
247,872.838,979.032,16.4773,0.0005,0.875,0.729,0.253,0.015,0.015,0.041,0.4758,-9.62,0.327,0.0613,0.078,0.058,0.005,0
131,934.304,922.745,15.3422,0.0004,1.561,1.278,nan,0.012,0.012,nan,2.8171,-6.681,-13.95,0.0333,0.041,0.036,0.37,-1
171,759.634,715.674,15.844,0.0005,1.189,1.107,nan,0.011,0.011,nan,0.3629,-5.029,2.348,0.0422,0.053,0.043,0.4,-1
184,826.192,847.814,15.9089,0.0004,1.272,1.229,nan,0.012,0.013,nan,0.0651,-7.181,0.748,0.0428,0.053,0.044,0.79,-1
219,938.025,1033.35,16.3195,0.0023,1.147,1.03,nan,0.011,0.012,nan,1.3305,-6.777,-1.791,0.142,0.176,0.171,0.75,-1
285,856.541,1132.31,16.6915,0.0013,1.068,0.964,nan,0.017,0.015,nan,-0.0082,-13.807,-0.392,0.1176,0.154,0.119,0.29,-1
291,1087.94,673.27,16.8091,0.0006,0.879,0.779,nan,0.016,0.015,nan,0.3829,-22.263,-0.893,0.0724,0.09,0.069,0.35,-1
295,935.726,753.247,16.752,0.0006,1.043,0.894,nan,0.018,0.018,nan,0.5016,-10.445,0.389,0.0727,0.09,0.073,0.19,-1
305,596.602,983.513,16.7658,0.0006,1.005,0.933,nan,0.02,0.019,nan,0.6593,-13.092,2.847,0.0696,0.084,0.066,0.0,-1
339,655.099,1189.8,16.8868,0.0007,0.945,0.804,nan,0.017,0.021,nan,0.1865,-4.744,-0.399,0.0686,0.09,0.069,0.58,-1
353,1013.02,1329.78,16.999,0.0007,0.932,0.765,nan,0.015,0.016,nan,0.0582,-5.326,1.449,0.0722,0.095,0.078,0.75,-1
357,843.355,1242.1,16.8833,0.0007,1.218,1.075,nan,0.015,0.019,nan,-0.0173,-3.408,-0.868,0.0705,0.097,0.071,0.6,-1
384,857.693,955.87,17.1409,0.0008,0.932,0.889,nan,0.02,0.02,nan,0.4081,-5.4,2.405,0.0844,0.105,0.084,0.33,-1
403,987.644,660.636,17.2012,0.0007,0.992,0.888,nan,0.026,0.022,nan,0.2784,-10.187,0.857,0.0932,0.121,0.09,0.12,-1
419,838.637,614.679,17.2704,0.0008,0.954,0.891,nan,0.021,0.023,nan,0.2377,-10.255,5.492,0.0947,0.121,0.095,0.03,-1
429,1033.86,1044.69,17.2729,0.0007,1.001,0.824,nan,0.023,0.024,nan,0.2379,-9.04,5.466,0.0923,0.119,0.09,0.22,-1
431,765.97,1236.19,17.1567,0.0007,1.285,1.071,nan,0.018,0.024,nan,0.5305,-3.731,-1.94,0.0779,0.101,0.081,0.77,-1
