ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
847,1380.17,1195.85,17.7412,0.0015,1.385,nan,0.049,nan,0.0978,-8.354,2.194,0.1206,0.218,0.191,0.47,-1
859,1719.7,1111.51,17.7691,0.0018,1.335,nan,0.042,nan,-0.2208,-9.359,0.684,0.1692,0.275,0.248,0.46,-1
862,1791.9,1121.9,17.9648,0.0015,1.095,nan,0.034,nan,0.0205,-6.355,0.796,0.1306,0.209,0.19,0.48,-1
863,1239.21,1389.76,17.873,0.0014,1.094,nan,0.037,nan,0.4162,-4.813,-2.467,0.151,0.273,0.217,0.47,-1
864,1289.86,1177.97,18.0989,0.0016,1.091,nan,0.039,nan,0.3141,-9.642,1.447,0.1447,0.233,0.212,0.45,-1
866,1467.02,1181.25,17.9514,0.0016,1.103,nan,0.041,nan,0.1105,-7.835,0.894,0.1364,0.22,0.195,0.47,-1
875,1640.0,1091.65,17.8752,0.0016,1.198,nan,0.042,nan,0.3971,-7.058,1.775,0.1376,0.228,0.204,0.64,-1
880,1426.54,1463.93,17.6859,0.0013,1.502,nan,0.05,nan,0.863,-3.922,0.315,0.14,0.225,0.199,0.46,-1
881,1477.71,1357.74,17.861,0.0015,1.166,nan,0.044,nan,0.2202,-5.982,1.213,0.1405,0.234,0.194,0.48,-1
894,1298.73,855.8,17.6788,0.0013,1.537,nan,0.056,nan,0.1939,-6.159,1.015,0.1111,0.186,0.162,0.48,-1
896,1501.18,784.607,17.8722,0.0015,1.167,nan,0.05,nan,0.341,-7.076,1.324,0.1264,0.197,0.182,0.65,-1
905,1726.15,1246.27,17.8946,0.0014,1.44,nan,0.05,nan,0.0777,-5.286,0.432,0.1263,0.208,0.188,0.46,-1
915,1412.17,1303.01,18.0337,0.0023,1.186,nan,0.045,nan,-0.1463,-5.052,-0.717,0.1835,0.342,0.325,0.44,-1
918,1466.29,781.232,17.9501,0.0012,1.235,nan,0.05,nan,0.1723,-8.663,2.189,0.1324,0.207,0.194,0.47,-1
933,1063.39,1289.46,17.7362,0.0013,1.576,nan,0.064,nan,0.3418,-7.296,0.934,0.1206,0.226,0.157,0.47,-1
949,1296.17,835.701,18.0557,0.0016,1.224,nan,0.059,nan,0.5315,-9.092,-1.059,0.1436,0.241,0.213,0.45,-1
971,1417.87,1374.92,18.1967,0.0018,1.134,nan,0.049,nan,0.4359,-12.442,0.026,0.1538,0.242,0.236,0.46,-1
978,1128.44,1264.48,17.9065,0.0012,1.641,nan,0.068,nan,0.3314,-4.57,-2.267,0.1307,0.221,0.188,0.45,-1
981,1282.28,1089.85,18.0368,0.002,1.405,nan,0.054,nan,1.0855,-16.611,-0.943,0.154,0.249,0.218,0.47,-1
991,1651.34,1247.83,18.1354,0.0018,1.146,nan,0.051,nan,0.2553,-7.495,3.569,0.1698,0.292,0.263,0.51,-1
992,1294.77,1382.48,18.1478,0.0016,1.116,nan,0.051,nan,-0.1981,-4.544,0.618,0.1595,0.267,0.224,0.46,-1
1014,1362.37,990.57,18.0676,0.0016,1.161,nan,0.053,nan,0.3554,-4.406,1.153,0.1398,0.239,0.206,0.46,-1
1037,1306.21,1184.02,18.0639,0.002,1.336,nan,0.055,nan,0.4638,-9.149,-0.27,0.177,0.272,0.256,0.45,-1
1042,1587.43,1475.4,18.1544,0.0018,1.111,nan,0.052,nan,0.3079,-6.666,0.281,0.1571,0.261,0.229,0.44,-1
1050,1535.36,1125.81,18.0937,0.0017,1.259,nan,0.057,nan,0.156,-8.689,0.677,0.1477,0.236,0.221,0.62,-1
1057,1525.0,1437.96,18.1681,0.0017,1.316,nan,0.063,nan,0.5573,0.324,-10.93,0.1683,0.258,0.224,0.45,-1
1063,1305.03,928.734,18.088,0.0015,1.283,nan,0.06,nan,0.0832,-6.529,-0.844,0.138,0.207,0.208,0.48,-1
1073,1310.47,1297.69,18.1299,0.0015,1.381,nan,0.062,nan,-0.024,-7.276,3.211,0.1546,0.249,0.227,0.51,-1
1074,1493.91,1105.54,18.2692,0.0018,1.139,nan,0.054,nan,0.2936,-5.934,0.132,0.1646,0.241,0.24,0.64,-1
1081,1044.75,1123.71,18.1443,0.0013,1.341,nan,0.064,nan,0.0711,-8.234,0.157,0.1537,0.247,0.213,0.46,-1
1089,1552.31,1006.87,18.3731,0.0019,0.957,nan,0.049,nan,0.2278,-7.121,0.628,0.1787,0.294,0.261,0.43,-1
1091,1591.31,965.593,18.2628,0.0018,1.08,nan,0.058,nan,0.2458,-8.742,2.35,0.1608,0.237,0.235,0.46,-1
1100,1631.07,1251.67,18.275,0.0019,1.323,nan,0.062,nan,0.1387,-4.943,0.219,0.1707,0.294,0.269,0.64,-1
1109,1497.74,825.388,18.3553,0.0027,1.138,nan,0.06,nan,0.3309,-3.591,2.703,0.2022,0.308,0.301,0.44,-1
1116,1023.54,1109.15,18.321,0.0015,1.318,nan,0.062,nan,0.2754,-13.54,-3.362,0.166,0.259,0.225,0.45,-1
1117,1282.96,1126.78,18.3222,0.0018,1.168,nan,0.06,nan,0.7535,-2.787,-0.196,0.1847,0.27,0.253,0.45,-1
1121,1701.37,1037.35,18.4124,0.0018,1.181,nan,0.06,nan,0.6098,-7.439,0.23,0.168,0.249,0.257,0.45,-1
1124,1193.9,1378.91,18.3372,0.0017,1.254,nan,0.06,nan,0.384,-6.098,0.725,0.207,0.319,0.299,0.46,-1
1130,1282.07,758.774,18.322,0.0018,1.257,nan,0.063,nan,0.5709,-6.648,0.908,0.1663,0.241,0.246,0.46,-1
1135,1414.8,1406.04,18.2942,0.002,1.452,nan,0.071,nan,0.3984,-8.88,-0.052,0.1618,0.254,0.252,0.46,-1
1145,1736.43,959.983,18.4139,0.002,1.15,nan,0.086,nan,0.2543,-16.412,3.598,0.1689,0.261,0.257,0.43,-1
1159,1044.18,1289.25,18.4923,0.0019,1.251,nan,0.058,nan,0.7646,-12.916,3.756,0.1925,0.302,0.258,0.46,-1
1164,1682.6,1029.62,18.5203,0.002,1.034,nan,0.054,nan,0.3122,-3.661,1.996,0.1868,0.286,0.303,0.44,-1
1169,1116.24,1141.07,18.3738,0.0018,1.34,nan,0.072,nan,0.5734,-5.682,0.917,0.1756,0.258,0.229,0.46,-1
1175,1482.19,1413.29,18.5625,0.0022,1.181,nan,0.062,nan,0.5193,-6.649,0.35,0.2121,0.318,0.288,0.45,-1
1184,1107.87,1153.89,18.3117,0.002,1.273,nan,0.066,nan,0.502,-10.456,1.525,0.185,0.307,0.239,0.45,-1
1187,1038.01,1064.43,18.4943,0.002,1.171,nan,0.068,nan,0.1293,-6.893,-0.869,0.1845,0.298,0.247,0.49,-1
1196,1315.48,1274.56,18.5692,0.0019,1.207,nan,0.075,nan,0.0644,-3.98,0.198,0.2071,0.336,0.301,0.47,-1
1197,1525.53,1155.99,18.4979,0.002,1.27,nan,0.07,nan,0.2528,-6.74,1.317,0.1887,0.315,0.272,0.5,-1
1208,1252.04,987.044,18.3654,0.0018,1.381,nan,0.085,nan,0.331,-9.316,2.23,0.18,0.271,0.262,0.44,-1
1209,1673.68,1230.01,18.586,0.0022,1.188,nan,0.07,nan,0.0417,-4.843,-0.362,0.2208,0.328,0.31,0.45,-1
1218,1747.57,1220.83,18.6387,0.0026,1.08,nan,0.075,nan,0.8287,-5.702,-5.291,0.2415,0.449,0.357,0.43,-1
1229,1096.33,1260.42,18.4339,0.0022,1.291,nan,0.094,nan,0.374,-8.339,1.361,0.194,0.327,0.264,0.43,-1
1236,1581.09,1220.29,18.6785,0.0027,1.233,nan,0.081,nan,0.0325,-8.151,0.99,0.2138,0.334,0.306,0.43,-1
1249,1309.07,1116.6,18.7327,0.0023,1.205,nan,0.087,nan,0.423,-7.889,-3.051,0.2345,0.386,0.346,0.44,-1
1253,1067.07,1249.89,18.6693,0.0021,1.116,nan,0.073,nan,0.1483,-4.066,-0.434,0.2154,0.355,0.291,0.46,-1
1267,1721.81,1216.34,18.9937,0.0031,1.075,nan,0.098,nan,0.6145,-8.87,7.495,0.282,0.435,0.418,0.43,-1
435,1623.88,1066.69,16.9571,0.0009,1.025,nan,0.016,nan,0.6365,-5.965,-0.137,0.0763,0.131,0.115,0.52,-1
523,1489.44,825.184,17.238,0.001,1.053,nan,0.023,nan,0.4686,-5.98,1.132,0.0856,0.132,0.125,0.5,-1
